::1 - - [04/May/2023:13:34:25 +0000] "GET /chatapp/getusername/5 HTTP/1.1" 304 - "http://localhost:3000/chatapp" "Mozilla/5.0 (iPad; CPU OS 13_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/87.0.4280.77 Mobile/15E148 Safari/604.1"
::1 - - [04/May/2023:13:34:25 +0000] "GET /chatapp/getusername/4 HTTP/1.1" 304 - "http://localhost:3000/chatapp" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
::1 - - [04/May/2023:13:34:25 +0000] "GET /chatapp/getusername/4 HTTP/1.1" 304 - "http://localhost:3000/chatapp" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
::1 - - [04/May/2023:13:34:25 +0000] "GET /chatapp/getusername/4 HTTP/1.1" 304 - "http://localhost:3000/chatapp" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
::1 - - [04/May/2023:13:34:25 +0000] "GET /chatapp/getusername/4 HTTP/1.1" 304 - "http://localhost:3000/chatapp" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
::1 - - [04/May/2023:13:34:25 +0000] "GET /chatapp/getusername/4 HTTP/1.1" 304 - "http://localhost:3000/chatapp" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
::1 - - [04/May/2023:13:34:25 +0000] "GET /chatapp/getusername/4 HTTP/1.1" 304 - "http://localhost:3000/chatapp" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
::1 - - [04/May/2023:13:34:25 +0000] "GET /chatapp/getusername/4 HTTP/1.1" 304 - "http://localhost:3000/chatapp" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
::1 - - [04/May/2023:13:34:25 +0000] "GET /chatapp/getusername/4 HTTP/1.1" 304 - "http://localhost:3000/chatapp" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
::1 - - [04/May/2023:13:34:25 +0000] "GET /chatapp/getusername/5 HTTP/1.1" 304 - "http://localhost:3000/chatapp" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
::1 - - [04/May/2023:13:34:27 +0000] "GET /chatapp/getmessages/-1/6 HTTP/1.1" 304 - "http://localhost:3000/chatapp" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
::1 - - [04/May/2023:13:34:27 +0000] "GET /chatapp/getid HTTP/1.1" 304 - "http://localhost:3000/chatapp" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
::1 - - [04/May/2023:13:34:27 +0000] "GET /chatapp/getusername/5 HTTP/1.1" 304 - "http://localhost:3000/chatapp" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
